%	% |
%가	% 가 |
0	0 |
100센치미터가	1 0 0 센 치 미 터 가 |
100억	1 0 0 억 |
100원	1 0 0 원 |
100일	1 0 0 일 |
100일이	1 0 0 일 이 |
100점	1 0 0 점 |
100주년이라고	1 0 0 주 년 이 라 고 |
100퍼센트	1 0 0 퍼 센 트 |
100편은	1 0 0 편 은 |
100프로	1 0 0 프 로 |
102번	1 0 2 번 |
108배를	1 0 8 배 를 |
10개	1 0 개 |
10개가	1 0 개 가 |
10개국	1 0 개 국 |
10개라도	1 0 개 라 도 |
10개월	1 0 개 월 |
10년	1 0 년 |
10년도	1 0 년 도 |
10년에	1 0 년 에 |
10년은	1 0 년 은 |
10년이	1 0 년 이 |
10년이면	1 0 년 이 면 |
10년이었나	1 0 년 이 었 나 |
10년지기	1 0 년 지 기 |
10대	1 0 대 |
10대들은	1 0 대 들 은 |
10대들의	1 0 대 들 의 |
10대들이	1 0 대 들 이 |
10대로	1 0 대 로 |
10대를	1 0 대 를 |
10마일은	1 0 마 일 은 |
10마일을	1 0 마 일 을 |
10만	1 0 만 |
10만원	1 0 만 원 |
10만원은	1 0 만 원 은 |
10만원이	1 0 만 원 이 |
10만원이라도	1 0 만 원 이 라 도 |
10명	1 0 명 |
10명이	1 0 명 이 |
10명이나	1 0 명 이 나 |
10명입니다	1 0 명 입 니 다 |
10미터가	1 0 미 터 가 |
10발짝은	1 0 발 짝 은 |
10번만	1 0 번 만 |
10번은	1 0 번 은 |
10분	1 0 분 |
10분도	1 0 분 도 |
10분만	1 0 분 만 |
10분에	1 0 분 에 |
10분에서	1 0 분 에 서 |
10분위	1 0 분 위 |
10분이면	1 0 분 이 면 |
10분입니다	1 0 분 입 니 다 |
10살	1 0 살 |
10살이에요	1 0 살 이 에 요 |
10살입니다	1 0 살 입 니 다 |
10세	1 0 세 |
10시	1 0 시 |
10시간	1 0 시 간 |
10시까지	1 0 시 까 지 |
10시는	1 0 시 는 |
10시니까	1 0 시 니 까 |
10시라고	1 0 시 라 고 |
10시에	1 0 시 에 |
10신	1 0 신 |
10월	1 0 월 |
10월까지	1 0 월 까 지 |
10월부터	1 0 월 부 터 |
10월에	1 0 월 에 |
10월은	1 0 월 은 |
10일	1 0 일 |
10일에	1 0 일 에 |
10일을	1 0 일 을 |
10장만	1 0 장 만 |
10주년	1 0 주 년 |
10초가	1 0 초 가 |
10층까지	1 0 층 까 지 |
10키로	1 0 키 로 |
10프로	1 0 프 로 |
10호	1 0 호 |
10회	1 0 회 |
11	1 1 |
110000달러에서	1 1 0 0 0 0 달 러 에 서 |
110년	1 1 0 년 |
111년	1 1 1 년 |
115KG입니다	1 1 5 K G 입 니 다 |
11만	1 1 만 |
11만9000원에	1 1 만 9 0 0 0 원 에 |
11만원	1 1 만 원 |
11번째가	1 1 번 째 가 |
11시	1 1 시 |
11시가	1 1 시 가 |
11시에	1 1 시 에 |
11시에는	1 1 시 에 는 |
11시입니다	1 1 시 입 니 다 |
11월	1 1 월 |
11월까지	1 1 월 까 지 |
11월에	1 1 월 에 |
11월은	1 1 월 은 |
11일까지	1 1 일 까 지 |
11호	1 1 호 |
12	1 2 |
12%라네	1 2 % 라 네 |
123번부터	1 2 3 번 부 터 |
125번까지	1 2 5 번 까 지 |
12KG나	1 2 K G 나 |
12개의	1 2 개 의 |
12건이래요	1 2 건 이 래 요 |
12살이	1 2 살 이 |
12살입니다	1 2 살 입 니 다 |
12시	1 2 시 |
12시가	1 2 시 가 |
12시간	1 2 시 간 |
12시까지는	1 2 시 까 지 는 |
12시반에	1 2 시 반 에 |
12시야	1 2 시 야 |
12시에	1 2 시 에 |
12시쯤에	1 2 시 쯤 에 |
12월	1 2 월 |
12월에	1 2 월 에 |
12월이	1 2 월 이 |
12일	1 2 일 |
12일까지	1 2 일 까 지 |
12퍼센트	1 2 퍼 센 트 |
13	1 3 |
135만	1 3 5 만 |
135만원	1 3 5 만 원 |
138명입니다	1 3 8 명 입 니 다 |
13일까지	1 3 일 까 지 |
13일의	1 3 일 의 |
13일이더라고요이더라구요	1 3 일 이 더 라 고 요 이 더 라 구 요 |
14	1 4 |
1400대	1 4 0 0 대 |
140억	1 4 0 억 |
14년	1 4 년 |
14도래	1 4 도 래 |
14살이	1 4 살 이 |
14일	1 4 일 |
15	1 5 |
15%를	1 5 % 를 |
1500	1 5 0 0 |
15000원	1 5 0 0 0 원 |
15000원이야	1 5 0 0 0 원 이 야 |
150명	1 5 0 명 |
15KG나	1 5 K G 나 |
15KG를	1 5 K G 를 |
15년	1 5 년 |
15도까지	1 5 도 까 지 |
15분	1 5 분 |
15억	1 5 억 |
15일	1 5 일 |
15일까지	1 5 일 까 지 |
15일이야	1 5 일 이 야 |
15일일	1 5 일 일 |
15점	1 5 점 |
15킬로짜리	1 5 킬 로 짜 리 |
15회에	1 5 회 에 |
160	1 6 0 |
1600원입니다	1 6 0 0 원 입 니 다 |
16만	1 6 만 |
16분이나	1 6 분 이 나 |
16일	1 6 일 |
16일까지	1 6 일 까 지 |
16일이	1 6 일 이 |
17	1 7 |
17배	1 7 배 |
17세	1 7 세 |
17일까지	1 7 일 까 지 |
17일부터	1 7 일 부 터 |
17일이	1 7 일 이 |
17일이니까	1 7 일 이 니 까 |
17학번	1 7 학 번 |
17학번입니다	1 7 학 번 입 니 다 |
18	1 8 |
18년	1 8 년 |
18만원입니다	1 8 만 원 입 니 다 |
18살	1 8 살 |
18일까지	1 8 일 까 지 |
19	1 9 |
1987보고	1 9 8 7 보 고 |
1988	1 9 8 8 |
1990년	1 9 9 0 년 |
19가	1 9 가 |
19는	1 9 는 |
19때문에	1 9 때 문 에 |
19로	1 9 로 |
19사태가	1 9 사 태 가 |
19세	1 9 세 |
19와	1 9 와 |
19의	1 9 의 |
19일	1 9 일 |
19일까지	1 9 일 까 지 |
1W	1 W |
1가	1 가 |
1가지	1 가 지 |
1가지를	1 가 지 를 |
1가지만	1 가 지 만 |
1가지에	1 가 지 에 |
1갑이랑	1 갑 이 랑 |
1개	1 개 |
1개가	1 개 가 |
1개는	1 개 는 |
1개도	1 개 도 |
1개월	1 개 월 |
1개월에는	1 개 월 에 는 |
1개월은	1 개 월 은 |
1건	1 건 |
1게임	1 게 임 |
1곡	1 곡 |
1곳	1 곳 |
1곳에	1 곳 에 |
1곳은	1 곳 은 |
1곳이	1 곳 이 |
1곳이야	1 곳 이 야 |
1과목만	1 과 목 만 |
1교시	1 교 시 |
1교시네	1 교 시 네 |
1교시에는	1 교 시 에 는 |
1군데	1 군 데 |
1군데도	1 군 데 도 |
1군데만	1 군 데 만 |
1권	1 권 |
1권이	1 권 이 |
1그루	1 그 루 |
1그릇	1 그 릇 |
1그릇은	1 그 릇 은 |
1근	1 근 |
1금융	1 금 융 |
1금융권에서	1 금 융 권 에 서 |
1금융권이	1 금 융 권 이 |
1급부터	1 급 부 터 |
1끼	1 끼 |
1끼는	1 끼 는 |
1나	1 나 |
1나도	1 나 도 |
1나랑	1 나 랑 |
1나에	1 나 에 |
1남1녀	1 남 1 녀 |
1년	1 년 |
1년밖에	1 년 밖 에 |
1년에	1 년 에 |
1년은	1 년 은 |
1년의	1 년 의 |
1년이	1 년 이 |
1년이나	1 년 이 나 |
1년이야	1 년 이 야 |
1년짜리	1 년 짜 리 |
1년쯤	1 년 쯤 |
1년치	1 년 치 |
1눈을	1 눈 을 |
1는	1 는 |
1단계로	1 단 계 로 |
1단에	1 단 에 |
1달	1 달 |
1달마다	1 달 마 다 |
1달만	1 달 만 |
1달밖에	1 달 밖 에 |
1달에	1 달 에 |
1달은	1 달 은 |
1달을	1 달 을 |
1달이	1 달 이 |
1달이나	1 달 이 나 |
1대	1 대 |
1대를	1 대 를 |
1도	1 도 |
1도만	1 도 만 |
1등	1 등 |
1등급	1 등 급 |
1등급을	1 등 급 을 |
1등급이야	1 등 급 이 야 |
1등석으로	1 등 석 으 로 |
1등으로	1 등 으 로 |
1등을	1 등 을 |
1등이	1 등 이 |
1등이라며	1 등 이 라 며 |
1등이라면서요	1 등 이 라 면 서 요 |
1등이야	1 등 이 야 |
1등이에요	1 등 이 에 요 |
1등입니다	1 등 입 니 다 |
1등칸에	1 등 칸 에 |
1라도	1 라 도 |
1로	1 로 |
1를	1 를 |
1마디	1 마 디 |
1마디는	1 마 디 는 |
1마리	1 마 리 |
1마리가	1 마 리 가 |
1마리를	1 마 리 를 |
1마리만	1 마 리 만 |
1마리와	1 마 리 와 |
1마리의	1 마 리 의 |
1만	1 만 |
1면	1 면 |
1명	1 명 |
1명도	1 명 도 |
1명만	1 명 만 |
1명은	1 명 은 |
1명의	1 명 의 |
1명이	1 명 이 |
1명이라고	1 명 이 라 고 |
1명이라도	1 명 이 라 도 |
1명이랑	1 명 이 랑 |
1명이면	1 명 이 면 |
1명입니다	1 명 입 니 다 |
1명쯤	1 명 쯤 |
1명한	1 명 한 |
1모금도	1 모 금 도 |
1모금만	1 모 금 만 |
1모금이	1 모 금 이 |
1몫	1 몫 |
1몸	1 몸 |
1묶음만	1 묶 음 만 |
1문장만	1 문 장 만 |
1문장으로는	1 문 장 으 로 는 |
1문장을	1 문 장 을 |
1바퀴	1 바 퀴 |
1박	1 박 |
1박2일은	1 박 2 일 은 |
1박스	1 박 스 |
1박스나	1 박 스 나 |
1밖에	1 밖 에 |
1발자국	1 발 자 국 |
1방에	1 방 에 |
1배	1 배 |
1번	1 번 |
1번가	1 번 가 |
1번도	1 번 도 |
1번만	1 번 만 |
1번부터	1 번 부 터 |
1번씩	1 번 씩 |
1번씩은	1 번 씩 은 |
1번에	1 번 에 |
1번은	1 번 은 |
1번이	1 번 이 |
1번이라도	1 번 이 라 도 |
1번째	1 번 째 |
1번째야	1 번 째 야 |
1번쯤은	1 번 쯤 은 |
1번쯤이라면	1 번 쯤 이 라 면 |
1벌	1 벌 |
1벌을	1 벌 을 |
1병	1 병 |
1봉지보다는	1 봉 지 보 다 는 |
1분	1 분 |
1사람	1 사 람 |
1사람을	1 사 람 을 |
1사이즈	1 사 이 즈 |
1산책은	1 산 책 은 |
1살	1 살 |
1살을	1 살 을 |
1살이	1 살 이 |
1살이라도	1 살 이 라 도 |
1살이야	1 살 이 야 |
1상자	1 상 자 |
1상자는	1 상 자 는 |
1상자만	1 상 자 만 |
1소절	1 소 절 |
1손에	1 손 에 |
1송이	1 송 이 |
1순위	1 순 위 |
1순위가	1 순 위 가 |
1순위로	1 순 위 로 |
1순위야	1 순 위 야 |
1숟가락	1 숟 가 락 |
1숟갈	1 숟 갈 |
1숨	1 숨 |
1시	1 시 |
1시간	1 시 간 |
1시간만	1 시 간 만 |
1시간에	1 시 간 에 |
1시간은	1 시 간 은 |
1시간을	1 시 간 을 |
1시간이	1 시 간 이 |
1시간이나	1 시 간 이 나 |
1시간이면	1 시 간 이 면 |
1시까지	1 시 까 지 |
1시에	1 시 에 |
1시인데	1 시 인 데 |
1씩	1 씩 |
1알	1 알 |
1알을	1 알 을 |
1야	1 야 |
1어제는	1 어 제 는 |
1억	1 억 |
1억2천만원에	1 억 2 천 만 원 에 |
1억을	1 억 을 |
1억이나	1 억 이 나 |
1에	1 에 |
1에서	1 에 서 |
1에어컨	1 에 어 컨 |
1에요	1 에 요 |
1오늘	1 오 늘 |
1월	1 월 |
1월1일이	1 월 1 일 이 |
1월일	1 월 일 |
1위	1 위 |
1위가	1 위 가 |
1위는	1 위 는 |
1위래	1 위 래 |
1위를	1 위 를 |
1위에요	1 위 에 요 |
1위입니다	1 위 입 니 다 |
1음식만	1 음 식 만 |
1의	1 의 |
1이래	1 이 래 |
1인	1 인 |
1인분	1 인 분 |
1일	1 일 |
1일에	1 일 에 |
1일이	1 일 이 |
1일입니다	1 일 입 니 다 |
1입	1 입 |
1입니다	1 입 니 다 |
1입만	1 입 만 |
1입에	1 입 에 |
1잔	1 잔 |
1잔만	1 잔 만 |
1잔에	1 잔 에 |
1잔은	1 잔 은 |
1잔을	1 잔 을 |
1잔이	1 잔 이 |
1잔이랑	1 잔 이 랑 |
1잖아	1 잖 아 |
1장	1 장 |
1장으로	1 장 으 로 |
1적금	1 적 금 |
1점	1 점 |
1점도	1 점 도 |
1접시	1 접 시 |
1접시에	1 접 시 에 |
1조각	1 조 각 |
1조각을	1 조 각 을 |
1종	1 종 |
1종류만	1 종 류 만 |
1주	1 주 |
1주일	1 주 일 |
1주일만	1 주 일 만 |
1주일에	1 주 일 에 |
1주일은	1 주 일 은 |
1주일이나	1 주 일 이 나 |
1주일이면	1 주 일 이 면 |
1주일입니다	1 주 일 입 니 다 |
1지역에서	1 지 역 에 서 |
1집	1 집 |
1집에	1 집 에 |
1쪽	1 쪽 |
1쪽으로	1 쪽 으 로 |
1쪽은	1 쪽 은 |
1쯤	1 쯤 |
1쯤은	1 쯤 은 |
1차	1 차 |
1차만	1 차 만 |
1채	1 채 |
1초	1 초 |
1층	1 층 |
1층에	1 층 에 |
1층에서	1 층 에 서 |
1칸만	1 칸 만 |
1캔	1 캔 |
1컵	1 컵 |
1컵만	1 컵 만 |
1컵을	1 컵 을 |
1킬로그램	1 킬 로 그 램 |
1턱	1 턱 |
1토막	1 토 막 |
1통	1 통 |
1통만	1 통 만 |
1팀	1 팀 |
1팀인	1 팀 인 |
1판	1 판 |
1판이라니	1 판 이 라 니 |
1퍼센트	1 퍼 센 트 |
1퍼센트도	1 퍼 센 트 도 |
1편	1 편 |
1편1편이	1 편 1 편 이 |
1편이	1 편 이 |
1포	1 포 |
1포를	1 포 를 |
1푸드로	1 푸 드 로 |
1프로	1 프 로 |
1프로도	1 프 로 도 |
1하나	1 하 나 |
1학년	1 학 년 |
1학년은	1 학 년 은 |
1학년인데	1 학 년 인 데 |
1해	1 해 |
1해는	1 해 는 |
1행	1 행 |
1호선	1 호 선 |
1호였는데	1 호 였 는 데 |
1호점을	1 호 점 을 |
1회	1 회 |
1회용	1 회 용 |
1회용품	1 회 용 품 |
1회용품을	1 회 용 품 을 |
1회용품이	1 회 용 품 이 |
2	2 |
20	2 0 |
200	2 0 0 |
2000	2 0 0 0 |
20000	2 0 0 0 0 |
20000000원	2 0 0 0 0 0 0 0 원 |
200000원	2 0 0 0 0 0 원 |
20000명	2 0 0 0 0 명 |
20000원	2 0 0 0 0 원 |
20000원입니다	2 0 0 0 0 원 입 니 다 |
2000년대가	2 0 0 0 년 대 가 |
2000만원	2 0 0 0 만 원 |
2000번이나	2 0 0 0 번 이 나 |
2000원	2 0 0 0 원 |
2002	2 0 0 2 |
2002년	2 0 0 2 년 |
2003년	2 0 0 3 년 |
2003년도	2 0 0 3 년 도 |
2008년	2 0 0 8 년 |
200개	2 0 0 개 |
200명대	2 0 0 명 대 |
200명이	2 0 0 명 이 |
2013년	2 0 1 3 년 |
2016년에	2 0 1 6 년 에 |
2017년	2 0 1 7 년 |
2020년	2 0 2 0 년 |
2020년에는	2 0 2 0 년 에 는 |
2020년이	2 0 2 0 년 이 |
2025년까지	2 0 2 5 년 까 지 |
2030	2 0 3 0 |
2030년에는	2 0 3 0 년 에 는 |
20M만	2 0 M 만 |
20개	2 0 개 |
20권	2 0 권 |
20년	2 0 년 |
20년도는	2 0 년 도 는 |
20년은	2 0 년 은 |
20년이야	2 0 년 이 야 |
20대	2 0 대 |
20대가	2 0 대 가 |
20대는	2 0 대 는 |
20대도	2 0 대 도 |
20대부터	2 0 대 부 터 |
20대부터는	2 0 대 부 터 는 |
20대에	2 0 대 에 |
20대에는	2 0 대 에 는 |
20대의	2 0 대 의 |
20대인	2 0 대 인 |
20도까지	2 0 도 까 지 |
20번	2 0 번 |
20분	2 0 분 |
20분을	2 0 분 을 |
20분이	2 0 분 이 |
20분이나	2 0 분 이 나 |
20살	2 0 살 |
20살까지	2 0 살 까 지 |
20살이고요	2 0 살 이 고 요 |
20살이다	2 0 살 이 다 |
20살이라고	2 0 살 이 라 고 |
20살이라니	2 0 살 이 라 니 |
20살이야	2 0 살 이 야 |
20살인데	2 0 살 인 데 |
20세	2 0 세 |
20세부터	2 0 세 부 터 |
20에서	2 0 에 서 |
20을	2 0 을 |
20일까지	2 0 일 까 지 |
20일에	2 0 일 에 |
20초	2 0 초 |
20톤	2 0 톤 |
20퍼센트	2 0 퍼 센 트 |
20프로니	2 0 프 로 니 |
21	2 1 |
2100년에는	2 1 0 0 년 에 는 |
21살	2 1 살 |
21살이라고	2 1 살 이 라 고 |
21살입니다	2 1 살 입 니 다 |
21세기	2 1 세 기 |
21세기인데요	2 1 세 기 인 데 요 |
21일까지	2 1 일 까 지 |
21호	2 1 호 |
220달러로	2 2 0 달 러 로 |
22도	2 2 도 |
22번	2 2 번 |
22살이야	2 2 살 이 야 |
22살이에요	2 2 살 이 에 요 |
22일까지	2 2 일 까 지 |
23	2 3 |
2300	2 3 0 0 |
235명입니다	2 3 5 명 입 니 다 |
23살은	2 3 살 은 |
23살이야	2 3 살 이 야 |
23일까지	2 3 일 까 지 |
23일부터	2 3 일 부 터 |
23페이지	2 3 페 이 지 |
24	2 4 |
24000원	2 4 0 0 0 원 |
24도	2 4 도 |
24번째	2 4 번 째 |
24살	2 4 살 |
24살이야	2 4 살 이 야 |
24살이에요	2 4 살 이 에 요 |
24살입니다	2 4 살 입 니 다 |
24시간	2 4 시 간 |
24시간도	2 4 시 간 도 |
24일까지	2 4 일 까 지 |
24일입니다	2 4 일 입 니 다 |
24입니다	2 4 입 니 다 |
24프로더라	2 4 프 로 더 라 |
25	2 5 |
25000	2 5 0 0 0 |
250건은	2 5 0 건 은 |
250년	2 5 0 년 |
258명입니다	2 5 8 명 입 니 다 |
25개	2 5 개 |
25는	2 5 는 |
25단계가	2 5 단 계 가 |
25단계로	2 5 단 계 로 |
25번째	2 5 번 째 |
25살	2 5 살 |
25살에	2 5 살 에 |
25살인데	2 5 살 인 데 |
25살입니다	2 5 살 입 니 다 |
25일	2 5 일 |
267명입니다	2 6 7 명 입 니 다 |
26이야	2 6 이 야 |
26일에나	2 6 일 에 나 |
27	2 7 |
27번째	2 7 번 째 |
27인데	2 7 인 데 |
27일	2 7 일 |
27일까지	2 7 일 까 지 |
27일입니다	2 7 일 입 니 다 |
28일	2 8 일 |
29살	2 9 살 |
29살이야	2 9 살 이 야 |
29에	2 9 에 |
29일	2 9 일 |
29일까지	2 9 일 까 지 |
29일이라	2 9 일 이 라 |
2M	2 M |
2PM	2 P M |
2가지	2 가 지 |
2가지를	2 가 지 를 |
2가지만	2 가 지 만 |
2개	2 개 |
2개가	2 개 가 |
2개나	2 개 나 |
2개라니	2 개 라 니 |
2개를	2 개 를 |
2개만	2 개 만 |
2개야	2 개 야 |
2개에	2 개 에 |
2개월	2 개 월 |
2개의	2 개 의 |
2개인데	2 개 인 데 |
2곳이거든요	2 곳 이 거 든 요 |
2교시	2 교 시 |
2교시에는	2 교 시 에 는 |
2권은	2 권 은 |
2권이나	2 권 이 나 |
2금융권은	2 금 융 권 은 |
2급	2 급 |
2남	2 남 |
2년	2 년 |
2년마다	2 년 마 다 |
2년에	2 년 에 |
2년을	2 년 을 |
2년이	2 년 이 |
2년째	2 년 째 |
2다	2 다 |
2단	2 단 |
2단계	2 단 계 |
2단계로	2 단 계 로 |
2달	2 달 |
2달만인가	2 달 만 인 가 |
2달이	2 달 이 |
2대	2 대 |
2등	2 등 |
2리터	2 리 터 |
2마리	2 마 리 |
2마리나	2 마 리 나 |
2마리를	2 마 리 를 |
2만보씩	2 만 보 씩 |
2만원	2 만 원 |
2만원을	2 만 원 을 |
2만원이요	2 만 원 이 요 |
2명	2 명 |
2명은	2 명 은 |
2명이	2 명 이 |
2명이나	2 명 이 나 |
2명이니까	2 명 이 니 까 |
2박	2 박 |
2반	2 반 |
2배	2 배 |
2배는	2 배 는 |
2배에	2 배 에 |
2번	2 번 |
2번도	2 번 도 |
2번만	2 번 만 |
2번에	2 번 에 |
2번은	2 번 은 |
2번이	2 번 이 |
2번이나	2 번 이 나 |
2번이었습니다	2 번 이 었 습 니 다 |
2번지	2 번 지 |
2번째	2 번 째 |
2번째로	2 번 째 로 |
2분	2 분 |
2분도	2 분 도 |
2분만	2 분 만 |
2분은	2 분 은 |
2분이	2 분 이 |
2분이기	2 분 이 기 |
2분이면	2 분 이 면 |
2사건의	2 사 건 의 |
2사람	2 사 람 |
2사람이	2 사 람 이 |
2살	2 살 |
2상자	2 상 자 |
2시	2 시 |
2시간	2 시 간 |
2시간를	2 시 간 를 |
2시간만	2 시 간 만 |
2시간을	2 시 간 을 |
2시간이	2 시 간 이 |
2시까지	2 시 까 지 |
2시부터	2 시 부 터 |
2시에	2 시 에 |
2시에는	2 시 에 는 |
2알	2 알 |
2알만	2 알 만 |
2억달러는	2 억 달 러 는 |
2억에	2 억 에 |
2에	2 에 |
2외국어로	2 외 국 어 로 |
2월	2 월 |
2월24일입니다	2 월 2 4 일 입 니 다 |
2위가	2 위 가 |
2은	2 은 |
2이	2 이 |
2이랑	2 이 랑 |
2인분	2 인 분 |
2인분을	2 인 분 을 |
2인분이랑	2 인 분 이 랑 |
2일	2 일 |
2일간	2 일 간 |
2일로	2 일 로 |
2일이잖아	2 일 이 잖 아 |
2자리	2 자 리 |
2잔	2 잔 |
2잔은	2 잔 은 |
2장	2 장 |
2장만	2 장 만 |
2장을	2 장 을 |
2정거장이나	2 정 거 장 이 나 |
2종	2 종 |
2종류	2 종 류 |
2주	2 주 |
2주가	2 주 가 |
2주는	2 주 는 |
2주밖에	2 주 밖 에 |
2주일	2 주 일 |
2줄만	2 줄 만 |
2째	2 째 |
2째는	2 째 는 |
2차	2 차 |
2차랑	2 차 랑 |
2천원이라니	2 천 원 이 라 니 |
2층	2 층 |
2층에	2 층 에 |
2층에는	2 층 에 는 |
2층에서	2 층 에 서 |
2층으로	2 층 으 로 |
2친구	2 친 구 |
2캔만	2 캔 만 |
2킬로그램도	2 킬 로 그 램 도 |
2통만	2 통 만 |
2팔	2 팔 |
2편이	2 편 이 |
2프로	2 프 로 |
2프로도	2 프 로 도 |
2학기	2 학 기 |
2학기에도	2 학 기 에 도 |
2학년	2 학 년 |
2학년인데	2 학 년 인 데 |
2호선	2 호 선 |
3	3 |
30	3 0 |
30%입니다	3 0 % 입 니 다 |
30000	3 0 0 0 0 |
30000000달러죠	3 0 0 0 0 0 0 0 달 러 죠 |
300000원만	3 0 0 0 0 0 원 만 |
3000개만	3 0 0 0 개 만 |
3000원이나	3 0 0 0 원 이 나 |
300G	3 0 0 G |
300달러	3 0 0 달 러 |
300달러입니다만	3 0 0 달 러 입 니 다 만 |
300도	3 0 0 도 |
300등	3 0 0 등 |
300만	3 0 0 만 |
300만원이	3 0 0 만 원 이 |
300미터쯤	3 0 0 미 터 쯤 |
300엔이야	3 0 0 엔 이 야 |
300장	3 0 0 장 |
301호	3 0 1 호 |
305호에	3 0 5 호 에 |
30개	3 0 개 |
30년	3 0 년 |
30년이	3 0 년 이 |
30달러가	3 0 달 러 가 |
30대	3 0 대 |
30대부터는	3 0 대 부 터 는 |
30대인데	3 0 대 인 데 |
30만원	3 0 만 원 |
30만원이야	3 0 만 원 이 야 |
30번	3 0 번 |
30번째	3 0 번 째 |
30벌도	3 0 벌 도 |
30분	3 0 분 |
30분까지	3 0 분 까 지 |
30분도	3 0 분 도 |
30분만	3 0 분 만 |
30분부터	3 0 분 부 터 |
30분씩	3 0 분 씩 |
30분씩은	3 0 분 씩 은 |
30분에	3 0 분 에 |
30분은	3 0 분 은 |
30분을	3 0 분 을 |
30분이	3 0 분 이 |
30분이나	3 0 분 이 나 |
30분이야	3 0 분 이 야 |
30살이	3 0 살 이 |
30살이야	3 0 살 이 야 |
30살이에요	3 0 살 이 에 요 |
30살입니다	3 0 살 입 니 다 |
30은	3 0 은 |
30을	3 0 을 |
30이	3 0 이 |
30이에요	3 0 이 에 요 |
30인데	3 0 인 데 |
30일	3 0 일 |
30일까지	3 0 일 까 지 |
30일이	3 0 일 이 |
30초	3 0 초 |
30퍼센트	3 0 퍼 센 트 |
30퍼센트에	3 0 퍼 센 트 에 |
30프로	3 0 프 로 |
30프로만	3 0 프 로 만 |
31년	3 1 년 |
31살입니다	3 1 살 입 니 다 |
31일	3 1 일 |
31일까지	3 1 일 까 지 |
31일이	3 1 일 이 |
33번째	3 3 번 째 |
35	3 5 |
35000원이야	3 5 0 0 0 원 이 야 |
3500원에	3 5 0 0 원 에 |
350엔	3 5 0 엔 |
35도	3 5 도 |
35일입니다	3 5 일 입 니 다 |
35평대	3 5 평 대 |
360개	3 6 0 개 |
365일	3 6 5 일 |
36도	3 6 도 |
37%	3 7 % |
37도입니다	3 7 도 입 니 다 |
37킬로미터를	3 7 킬 로 미 터 를 |
38	3 8 |
38도야	3 8 도 야 |
38살입니다	3 8 살 입 니 다 |
39도	3 9 도 |
39도가	3 9 도 가 |
39도로	3 9 도 로 |
39도의	3 9 도 의 |
3D	3 D |
3KG나	3 K G 나 |
3가족입니다	3 가 족 입 니 다 |
3가지	3 가 지 |
3가지예요	3 가 지 예 요 |
3가지입니다	3 가 지 입 니 다 |
3개	3 개 |
3개가	3 개 가 |
3개나	3 개 나 |
3개는	3 개 는 |
3개랑	3 개 랑 |
3개를	3 개 를 |
3개만	3 개 만 |
3개에요	3 개 에 요 |
3개월	3 개 월 |
3개월이	3 개 월 이 |
3개월이나	3 개 월 이 나 |
3개월이면	3 개 월 이 면 |
3개의	3 개 의 |
3거리가	3 거 리 가 |
